Russian,English
часть,part
история,history
поиск,search
Только,only
полиция,police
подумал,thought
помощь,help
запрос,request
Добрый,kind
месяц,month
брат,brother
позволять,let
потому что,because
положить,to put
нет,no
привязь,leash
их,them
город,city
каждый,each
говорить,speak
прийти,come
должен,should
детка,baby
много времени,long time
часы,hours
буду,will
в то время как,while
Встретимся снова,meet again
любой,any
квадрат,square
говорить,speak
понял,understood
знал,knew
мы,were
Предупреждение,Warning
здесь,here is
мог,could
кейс,case
давать,give
тип,type
их,their
данный,given
тренироваться,train
тело,body
место,place
глаза,eyes
способ,way
Слушать,listen
чья,whose
найти,find
первый,first
потерянный,lost
рука,hand
первый,first
боковая сторона,side
власть,power
Старый,old
быть,be
здесь,here
утро,morning
так много,so much
ребенок,child
точка,point
пришел,came
после,after
извиняюсь,sorry
прийти,come
перед,in front of
к,towards
минут,minutes
запрос,request
спальная комната,bedroom
помещенный,placed
красивая,beautiful
закон,law
хотел бы,would like to
Cегодня,today
муж,husband
причина,cause
наконец,finally
надеяться,hope
воды,water
Ждать,Wait
левый,left
новый,new
работа,job
Стоп,Stop
сказал бы,would say
Земля,Earth
учетная запись,account
данный,given
далеко,far
конец,end
полагать,believe
дорогой,sweetheart
большой,large
скорее,rather
буду иметь,will have
девушки,girls
играть,to play
офис,office